Unnamed: 0,name,mapped_data
40383,nct central delhi india,",Central Delhi,NCT,India"
40384,assam karimganj india,",Karimganj,Assam,India"
40385,pondicherry karaikal india,",Karaikal,Pondicherry,India"
40386,tripura dhalai india,",Dhalai,Tripura,India"
40387,odisha dhenkanal india,",Dhenkanal,Odisha,India"
40388,himachal pradesh   india,", ,Himachal Pradesh,India"
40389,maharashtra hingoli india,",Hingoli,Maharashtra,India"
40390,tripura north tripura india,",North Tripura,Tripura,India"
40391,assam bongaigaon india,",Bongaigaon,Assam,India"
40392,odisha jharsuguda india,",Jharsuguda,Odisha,India"
40393,haryana jhajjar india,",Jhajjar,Haryana,India"
40394,bihar jamui india,",Jamui,Bihar,India"
40395,jharkhand jamtara india,",Jamtara,Jharkhand,India"
40396,gujarat bharuch india,",Bharuch,Gujarat,India"
40397,odisha jajpur india,",Jajpur,Odisha,India"
40398,punjab faridkot india,",Faridkot,Punjab,India"
40399,bihar jehanabad india,",Jehanabad,Bihar,India"
40400,arunachal pradesh papum pare india,",Papum Pare,Arunachal Pradesh,India"
40401,west bengal maldah india,",Maldah,West Bengal,India"
40402,telangana hyderabad india,",Hyderabad,Telangana,India"
40403,jharkhand palamu india,",Palamu,Jharkhand,India"
40404,karnataka chitradurga india,",Chitradurga,Karnataka,India"
40405,karnataka   india,", ,Karnataka,India"
40406,karnataka bidar india,",Bidar,Karnataka,India"
40407,jharkhand giridih india,",Giridih,Jharkhand,India"
40408,jharkhand hazaribag india,",Hazaribag,Jharkhand,India"
40409,uttar pradesh jyotiba phule nagar india,",Jyotiba Phule Nagar,Uttar Pradesh,India"
40410,uttar pradesh basti india,",Basti,Uttar Pradesh,India"
40411,odisha rayagada india,",Rayagada,Odisha,India"
40412,uttar pradesh faizabad india,",Faizabad,Uttar Pradesh,India"
40413,bihar gopalganj india,",Gopalganj,Bihar,India"
40414,maharashtra gondiya india,",Gondiya,Maharashtra,India"
40415,jharkhand godda india,",Godda,Jharkhand,India"
40416,chhattisgarh dakshin bastar dantewada india,",Dakshin Bastar Dantewada,Chhattisgarh,India"
40417,himachal pradesh bilaspur india,",Bilaspur,Himachal Pradesh,India"
40418,assam kamrup metropolitan india,",Kamrup Metropolitan,Assam,India"
40419,jharkhand garhwa india,",Garhwa,Jharkhand,India"
40420,west bengal dakshin dinajpur india,",Dakshin Dinajpur,West Bengal,India"
40421,rajasthan dungarpur india,",Dungarpur,Rajasthan,India"
40422,bihar araria india,",Araria,Bihar,India"
40423,punjab fazilka india,",Fazilka,Punjab,India"
40424,haryana faridabad district india,",Faridabad District,Haryana,India"
40425,bihar buxar india,",Buxar,Bihar,India"
40426,jharkhand dumka india,",Dumka,Jharkhand,India"
40427,kashmir doda india,",Doda,Kashmir,India"
40428,daman and diu diu india,",Diu,Daman and Diu,India"
40429,assam karbi anglong india,",Karbi Anglong,Assam,India"
40430,nagaland dimapur india,",Dimapur,Nagaland,India"
40431,assam dhemaji india,",Dhemaji,Assam,India"
40432,punjab barnala india,",Barnala,Punjab,India"
40433,gujarat dohad india,",Dohad,Gujarat,India"
40434,odisha debagarh india,",Debagarh,Odisha,India"
40435,nct north delhi india,",North Delhi,NCT,India"
40436,bihar darbhanga india,",Darbhanga,Bihar,India"
40437,daman and diu daman district india,",Daman District,Daman and Diu,India"
40438,himachal pradesh chamba india,",Chamba,Himachal Pradesh,India"
40439,odisha cuttack india,",Cuttack,Odisha,India"
40440,goa   india,", ,Goa,India"
40441,manipur churachandpur india,",Churachandpur,Manipur,India"
40442,odisha malkangiri india,",Malkangiri,Odisha,India"
40443,jharkhand chatra india,",Chatra,Jharkhand,India"
40444,odisha bhadrak india,",Bhadrak,Odisha,India"
40445,west bengal kolkata india,",Kolkata,West Bengal,India"
40446,maharashtra mumbai suburban india,",Mumbai Suburban,Maharashtra,India"
40447,assam chirang india,",Chirang,Assam,India"
40448,arunachal pradesh west kameng india,",West Kameng,Arunachal Pradesh,India"
40449,madhya pradesh bhopal india,",Bhopal,Madhya Pradesh,India"
40450,bihar kaimur district india,",Kaimur District,Bihar,India"
40451,nct north west delhi india,",North West Delhi,NCT,India"
40452,odisha baudh india,",Baudh,Odisha,India"
40453,arunachal pradesh west siang india,",West Siang,Arunachal Pradesh,India"
40454,uttar pradesh siddharthangar india,",Siddharthangar,Uttar Pradesh,India"
40455,bihar banka india,",Banka,Bihar,India"
40456,kashmir bandipore india,",Bandipore,Kashmir,India"
40457,andaman and nicobar islands   india,", ,Andaman and Nicobar Islands,India"
40458,punjab   india,", ,Punjab,India"
40459,chhattisgarh koriya india,",Koriya,Chhattisgarh,India"
40460,uttarakhand bageshwar india,",Bageshwar,Uttarakhand,India"
40461,maharashtra gadchiroli india,",Gadchiroli,Maharashtra,India"
40462,madhya pradesh singrauli india,",Singrauli,Madhya Pradesh,India"
40463,assam morigaon india,",Morigaon,Assam,India"
40464,rajasthan   india,", ,Rajasthan,India"
40465,assam baksa india,",Baksa,Assam,India"
42634,puebla canada morelos mexico,",Canada Morelos,Puebla,Mexico"
43621,canterbury waimakariri district new zealand,",Waimakariri District,Canterbury,New Zealand"
43622,waikato thames-coromandel district new zealand,",Thames-Coromandel District,Waikato,New Zealand"
43623,wellington wellington city new zealand,",Wellington City,Wellington,New Zealand"
43624,manawatu-wanganui wanganui district new zealand,",Wanganui District,Manawatu-Wanganui,New Zealand"
43625,tasman tasman district new zealand,",Tasman District,Tasman,New Zealand"
43626,manawatu-wanganui ruapehu district new zealand,",Ruapehu District,Manawatu-Wanganui,New Zealand"
43627,northland far north district new zealand,",Far North District,Northland,New Zealand"
43628,bay of plenty western bay of plenty district new zealand,",Western Bay of Plenty District,Bay of Plenty,New Zealand"
43629,waikato   new zealand,", ,Waikato,New Zealand"
43630,waikato south waikato district new zealand,",South Waikato District,Waikato,New Zealand"
43631,canterbury ashburton district new zealand,",Ashburton District,Canterbury,New Zealand"
43632,canterbury timaru district new zealand,",Timaru District,Canterbury,New Zealand"
43633,waikato waikato district new zealand,",Waikato District,Waikato,New Zealand"
43634,southland southland district new zealand,",Southland District,Southland,New Zealand"
43635,waikato taupo district new zealand,",Taupo District,Waikato,New Zealand"
43636,canterbury selwyn district new zealand,",Selwyn District,Canterbury,New Zealand"
43637,otago dunedin city new zealand,",Dunedin City,Otago,New Zealand"
43638,wellington porirua city new zealand,",Porirua City,Wellington,New Zealand"
43639,otago queenstown-lakes district new zealand,",Queenstown-Lakes District,Otago,New Zealand"
43640,wellington kapiti coast district new zealand,",Kapiti Coast District,Wellington,New Zealand"
43641,otago clutha district new zealand,",Clutha District,Otago,New Zealand"
43642,manawatu-wanganui palmerston north city new zealand,",Palmerston North City,Manawatu-Wanganui,New Zealand"
43643,waikato otorohanga district new zealand,",Otorohanga District,Waikato,New Zealand"
43644,northland whangarei new zealand,",Whangarei,Northland,New Zealand"
43645,waikato hauraki district new zealand,",Hauraki District,Waikato,New Zealand"
43646,taranaki new plymouth district new zealand,",New Plymouth District,Taranaki,New Zealand"
43647,nelson nelson city new zealand,",Nelson City,Nelson,New Zealand"
43648,hawke's bay napier city new zealand,",Napier City,Hawke's Bay,New Zealand"
43649,bay of plenty whakatane district new zealand,",Whakatane District,Bay of Plenty,New Zealand"
