,name,mapped_data
428,Kasai-Occidental,",,Kasai-Occidental,Congo, Democratic Republic of the"
429,Nord Kivu,",,Nord Kivu,Congo, Democratic Republic of the"
430,Kasai-Oriental,",,Kasai-Oriental,Congo, Democratic Republic of the"
431,Equateur,",,Equateur,Congo, Democratic Republic of the"
432,Katanga,",,Katanga,Congo, Democratic Republic of the"
433,Maniema,",,Maniema,Congo, Democratic Republic of the"
434,Bas-Congo,",,Bas-Congo,Congo, Democratic Republic of the"
435,Bandundu,",,Bandundu,Congo, Democratic Republic of the"
436,Kinshasa,",,Kinshasa,Congo, Democratic Republic of the"
437,Haut-Mbomou,",,Haut-Mbomou,Central African Republic"
438,Mbomou,",,Mbomou,Central African Republic"
439,Haute-Kotto,",,Haute-Kotto,Central African Republic"
440,Bamingui-Bangoran,",,Bamingui-Bangoran,Central African Republic"
441,Basse-Kotto,",,Basse-Kotto,Central African Republic"
442,Ouaka,",,Ouaka,Central African Republic"
443,Vakaga,",,Vakaga,Central African Republic"
444,Kemo,",,Kemo,Central African Republic"
445,Ouham-Pende,",,Ouham-Pende,Central African Republic"
446,Sangha-Mbaere,",,Sangha-Mbaere,Central African Republic"
447,Lobaye,",,Lobaye,Central African Republic"
448,Nana-Grebizi,",,Nana-Grebizi,Central African Republic"
449,Ouham,",,Ouham,Central African Republic"
450,Mambere-Kadei,",,Mambere-Kadei,Central African Republic"
451,Ombella-Mpoko,",,Ombella-Mpoko,Central African Republic"
452,Nana-Mambere,",,Nana-Mambere,Central African Republic"
453,Bangui,",,Bangui,Central African Republic"
454,Lekoumou,",,Lekoumou,Congo"
455,Sangha,",,Sangha,Congo"
456,Pointe-Noire,",,Pointe-Noire,Congo"
457,Cuvette,",,Cuvette,Congo"
458,Niari,",,Niari,Congo"
459,Bouenza,",,Bouenza,Congo"
460,Kouilou,",,Kouilou,Congo"
461,Pool,",,Pool,Congo"
462,Likouala,",,Likouala,Congo"
463,Plateaux,",,Plateaux,Congo"
464,Cuvette-Ouest,",,Cuvette-Ouest,Congo"
465,Brazzaville,",,Brazzaville,Congo"
466,Basel-Landschaft,",,Basel-Landschaft,Switzerland"
467,Bern,",,Bern,Switzerland"
468,Saint Gallen,",,Saint Gallen,Switzerland"
469,Aargau,",,Aargau,Switzerland"
